OBJECT_TYPE, DATABASE_NAME,SCHEMA_NAME,OBJECT_NAME,RELATIVE_PATH,EXTENSION,TECHNOLOGY,STATUS,ISBINARY,CONTENT_TYPE,CONTENT_LINES,COMMENT_LINES,BLANK_LINES,SIZE,MANUAL_EFFORT,AUTOMATIC_EFFORT,PRIORITY,ID,CONVERSION_SCOPE,CONVERSION_STATUS,CONVERSION_DATE,ASSIGNED_TO,TESTING_STATUS,TESTING_DATE,RETESTING_DATE,DELIVERY_DATE,NOTES,ERROR_TYPE,ERROR_MESSAGE,DUPLICATES
unknown_type,master,dbo,00_ddl,/Users/aaguilarmoya/projects/sfguide-scai-e2e-ssis-migration/migration/artifacts/source_raw/20260626.202148_Processed,sql,SQL,OK,FALSE,Code,5,,,,,,,master.unknown_type.dbo.00_ddl,Needed,Open,,,Open,,,,,,,0
view,TastyBytesDB,TastyBytes,vw_TopSellingItems,/Users/aaguilarmoya/projects/sfguide-scai-e2e-ssis-migration/migration/artifacts/source_raw/20260626.202148_Processed,sql,SQL,OK,FALSE,Code,34,,,,,,,TastyBytesDB.view.TastyBytes.vw_TopSellingItems,Needed,Open,,,Open,,,,,,,0
table,TastyBytesDB,TastyBytes,FoodTruck,/Users/aaguilarmoya/projects/sfguide-scai-e2e-ssis-migration/migration/artifacts/source_raw/20260626.202148_Processed,sql,SQL,OK,FALSE,Code,17,,,,,,,TastyBytesDB.table.TastyBytes.FoodTruck,Needed,Open,,,Open,,,,,,,0
procedure,TastyBytesDB,TastyBytes,sp_UpdateInventory,/Users/aaguilarmoya/projects/sfguide-scai-e2e-ssis-migration/migration/artifacts/source_raw/20260626.202148_Processed,sql,SQL,OK,FALSE,Code,24,,,,,,,TastyBytesDB.procedure.TastyBytes.sp_UpdateInventory,Needed,Open,,,Open,,,,,,,0
table,TastyBytesDB,TastyBytes,EmployeeShift,/Users/aaguilarmoya/projects/sfguide-scai-e2e-ssis-migration/migration/artifacts/source_raw/20260626.202148_Processed,sql,SQL,OK,FALSE,Code,16,,,,,,,TastyBytesDB.table.TastyBytes.EmployeeShift,Needed,Open,,,Open,,,,,,,0
table,TastyBytesDB,TastyBytes,Menu,/Users/aaguilarmoya/projects/sfguide-scai-e2e-ssis-migration/migration/artifacts/source_raw/20260626.202148_Processed,sql,SQL,OK,FALSE,Code,16,,,,,,,TastyBytesDB.table.TastyBytes.Menu,Needed,Open,,,Open,,,,,,,0
table,TastyBytesDB,TastyBytes,Customer,/Users/aaguilarmoya/projects/sfguide-scai-e2e-ssis-migration/migration/artifacts/source_raw/20260626.202148_Processed,sql,SQL,OK,FALSE,Code,18,,,,,,,TastyBytesDB.table.TastyBytes.Customer,Needed,Open,,,Open,,,,,,,0
table,TastyBytesDB,TastyBytes,City,/Users/aaguilarmoya/projects/sfguide-scai-e2e-ssis-migration/migration/artifacts/source_raw/20260626.202148_Processed,sql,SQL,OK,FALSE,Code,14,,,,,,,TastyBytesDB.table.TastyBytes.City,Needed,Open,,,Open,,,,,,,0
table,TastyBytesDB,TastyBytes,OrderHeader,/Users/aaguilarmoya/projects/sfguide-scai-e2e-ssis-migration/migration/artifacts/source_raw/20260626.202148_Processed,sql,SQL,OK,FALSE,Code,18,,,,,,,TastyBytesDB.table.TastyBytes.OrderHeader,Needed,Open,,,Open,,,,,,,0
table,TastyBytesDB,TastyBytes,Inventory,/Users/aaguilarmoya/projects/sfguide-scai-e2e-ssis-migration/migration/artifacts/source_raw/20260626.202148_Processed,sql,SQL,OK,FALSE,Code,13,,,,,,,TastyBytesDB.table.TastyBytes.Inventory,Needed,Open,,,Open,,,,,,,0
