File,Technology,Keyword,Count
/tastybytesdb/dbo/unknown_type/00_ddl.sql,SQL,print,1
/tastybytesdb/tastybytes/tastybytes.sql,SQL,create schema,1
/tastybytesdb/tastybytes/tastybytes.sql,SQL,go,1
/tastybytesdb/tastybytes/tastybytes.sql,SQL,use,1
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,=,2
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,as,2
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,begin,1
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,cast,1
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,create function,1
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,declare,1
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,end,1
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,from,1
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,go,1
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,int,1
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,isnull,2
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,ltrim,2
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,nvarchar,3
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,return,1
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,returns,1
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,rtrim,2
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,select,1
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,upper,1
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,use,1
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,where,1
/tastybytesdb/tastybytes/function/fn_formatcustomername.sql,SQL,+,2
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,=,8
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,as,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,begin,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,bit,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,create procedure,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,decimal,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,else,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,end,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,go,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,if,2
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,int,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,is null,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,null,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,on,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,return,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,set,3
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,update,2
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,use,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,where,2
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,+,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,bit,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,create table,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,date,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,datetime,2
/tastybytesdb/tastybytes/table/customer.sql,SQL,default,5
/tastybytesdb/tastybytes/table/customer.sql,SQL,getdate,2
/tastybytesdb/tastybytes/table/customer.sql,SQL,go,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,identity,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,int,3
/tastybytesdb/tastybytes/table/customer.sql,SQL,newid,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,not null,7
/tastybytesdb/tastybytes/table/customer.sql,SQL,null,4
